"x" "y" "res" "year"
750699.5386 4293353.761 0 2018
750691.8936 4293298.7882 0 2018
750656.3318 4293306.8659 0 2018
763811.6324 4288204.7144 0 2018
763852.1231 4288225.0596 0 2018
763849.3078 4288159.0553 0 2018
764558.8415 4290601.8905 0 2018
764548.6337 4290585.9545 0 2018
739778.8878 4289921.0882 0 2018
739819.7081 4289877.3654 0 2018
739778.5623 4289881.5306 0 2018
739779.1595 4289868.1564 0 2018
739803.5264 4289850.1768 0 2018
755972.852855 4297620.659774 0 2018
750635.1675 4293350.8657 0 2018
739740.1536 4289871.5246 0 2018
739810.7032 4289915.2556 0 2018
739901.2461 4289909.3693 1 2018
765141.1652 4290015.8867 0 2018
765018.0915 4289992.903 1 2018
763762.5264 4288067.5884 1 2018
763767.07 4288014.6681 0 2018
739832.1354 4289926.5118 1 2018
764529.7474 4289645.7856 1 2018
756795.7724 4292656.4321 1 2018
756771.3754 4292669.0312 1 2018
756792.978 4292666.1973 1 2018
756808.8381 4292665.3954 1 2018
756770.9509 4292685.8256 1 2018
764069.3788 4289473.5714 1 2018
765093.9099 4290157.7706 1 2018
763871.0775 4289393.2115 1 2018
763937.0663 4289454.4216 1 2018
758614.594556 4279322.42447 0 2018
764514.3937 4289783.5219 1 2018
756808.1403 4292649.9791 1 2018
756801.5775 4292652.9231 1 2018
756777.7451 4292665.583 1 2018
756764.8766 4292672.1833 1 2018
756758.4041 4292675.7882 1 2018
756817.1137 4292652.712 1 2018
756811.6803 4292655.6938 1 2018
756805.205 4292658.944 1 2018
756799.0153 4292662.1011 1 2018
756786.9439 4292668.8787 0 2018
756782.141 4292672.1479 1 2018
756774.5456 4292675.8608 1 2018
756767.9077 4292679.3471 1 2018
756820.5905 4292659.5193 1 2018
756814.9112 4292662.3648 1 2018
756795.6965 4292672.5446 1 2018
756789.179 4292675.7123 1 2018
756782.8951 4292679.0338 1 2018
756764.9557 4292688.554 1 2018
756776.4536 4292670.9127 1 2018
756815.8529 4292657.7226 1 2018
756745.6027 4292694.7985 1 2018
763827.8629 4288116.6885 0 2018
763792.8127 4288047.5412 0 2018
763856.6709 4288096.6248 0 2018
763828.5816 4288058.2603 0 2018
763836.8889 4288053.0288 0 2018
763713.522 4288072.488 1 2018
763724.4261 4288029.5533 1 2018
763742.9287 4288080.7654 0 2018
764556.739 4289695.7057 1 2018
739842.3776 4289985.9306 0 2018
739931.8913 4289927.9173 0 2018
739968.9544 4289942.4815 0 2018
764006.4204 4289272.9983 1 2018
763952.1466 4289266.3819 1 2018
763979.5088 4289216.6291 0 2018
758682.9317 4291928.0305 0 2018
758689.2678 4291925.4307 0 2018
758695.078 4291923.0523 0 2018
758700.552 4291920.9577 0 2018
758706.2722 4291918.8317 0 2018
758712.0681 4291916.7195 0 2018
758717.4949 4291914.411 0 2018
758723.1545 4291912.6007 0 2018
758728.7797 4291909.9809 0 2018
758741.1974 4291905.3601 1 2018
758750.9454 4291901.3285 0 2018
758756.3955 4291898.9708 0 2018
758761.2254 4291897.3089 0 2018
758766.6062 4291895.5591 0 2018
758771.7237 4291894.1453 1 2018
758687.9498 4291933.0699 0 2018
758692.9019 4291931.3069 0 2018
758698.7716 4291928.8115 0 2018
758704.4193 4291926.5962 0 2018
758716.2615 4291922.6407 0 2018
758721.7379 4291920.3247 0 2018
758738.2555 4291913.4672 0 2018
758743.0643 4291911.7697 0 2018
758748.7519 4291909.938 0 2018
758753.7496 4291908.0061 1 2018
758758.6705 4291906.2951 1 2018
758763.7267 4291904.4871 1 2018
758773.765 4291900.8846 1 2018
758692.2478 4291938.8603 0 2018
